timestamps,open,high,low,close,volume,amount,ret_1,ret_5,ret_10,log_vol_chg,rsi_14,macd,bb_pos,atr_14,obv_slope,sma_ratio,rvol_5,rvol_20,target
2020-08-26,126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,163022400.0,20626001454.74853,,,,,,,,0.0,,,,,0
2020-08-27,127.14250183105467,127.48500061035156,123.8324966430664,125.01000213623048,155552400.0,19445605856.295776,-0.011954371429482746,,,-0.046904962036265374,,,,0.0,,,,,0
2020-08-28,126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,187630000.0,23417631740.341187,-0.0016198655002642726,,,0.18748928505313245,,,,0.0,,,,,1
2020-08-31,127.58000183105467,131.0,126.0,129.0399932861328,225702700.0,29124674892.66205,0.03391214827961675,,,0.18474670713607821,,,,0.0,,,,,1
2020-09-01,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,151948100.0,20388394945.09888,0.039832607385921204,,,-0.3956796292123741,,,,0.0,,,,,0
2020-09-02,137.58999633789062,137.97999572753906,127.0,131.39999389648438,200119000.0,26295635378.57056,-0.02071842995262474,0.03855041472706966,,0.2753731728501201,,,,0.0,-165650600.0,,0.027386863869579378,,0
2020-09-03,126.91000366210938,128.83999633789062,120.5,120.87999725341795,257599600.0,31138638940.481567,-0.08006086097198739,-0.03303739550625584,,0.25249425071320886,,,,0.0,-267697800.0,,0.04851307617292723,,1
2020-09-04,120.06999969482422,123.6999969482422,110.88999938964844,120.95999908447266,332607200.0,40232166607.48901,0.0006618285313737537,-0.03082750297409309,,0.25555577183989087,,,,0.0,252539400.0,,0.048572109528908794,,0
2020-09-08,113.9499969482422,118.98999786376952,112.68000030517578,112.81999969482422,231366600.0,26102779741.39252,-0.0672949690084228,-0.12569741502808696,,-0.3629587472992313,,,,0.0,-204529900.0,,0.0492426643829077,,1
2020-09-09,117.26000213623048,119.13999938964844,115.26000213623048,117.31999969482422,176940500.0,20758659406.002045,0.039886545046732946,-0.12565206365524095,,-0.26818994633708826,,,,0.0,-179537500.0,,0.04926056183137348,,0
2020-09-10,120.36000061035156,120.5,112.5,113.48999786376952,182274400.0,20686321266.61988,-0.03264577089172693,-0.13630134600176758,-0.10300540469092379,0.029699725924256626,,,,0.0,-161692900.0,,0.04925960475572631,,0
2020-09-11,114.56999969482422,115.2300033569336,110.0,112.0,180860300.0,20256353600.0,-0.013128891460180259,-0.07346126286553056,-0.1040716895761088,-0.0077883338621269615,,,,0.0,-84953600.0,,0.03970590298884967,,1
2020-09-14,114.72000122070312,115.93000030517578,112.8000030517578,115.36000061035156,140150100.0,16167715621.540833,0.03000000544956749,-0.04629628403196595,-0.07569658817237424,-0.25501091731467795,,,,0.0,-277410700.0,,0.044397939451314004,,1
2020-09-15,118.33000183105467,118.83000183105467,113.61000061035156,115.54000091552734,184642000.0,21333536849.0448,0.0015603355081781345,0.024109211381498685,-0.10461866919560847,0.2757048222990619,38.05266890431375,,,0.056288485329933184,138597900.0,,0.029998637403522214,,0
2020-09-16,115.2300033569336,116.0,112.04000091552734,112.12999725341795,154679000.0,17344155845.161438,-0.02951361982939993,-0.044238002513694474,-0.16433146986110392,-0.1770668123427548,33.88194644676868,,,0.05637998793339873,-193021600.0,,0.025637747115652438,,0
2020-09-17,109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,178011000.0,19641733088.104248,-0.01596362221860992,-0.02775576337273411,-0.1602739614674915,0.14049334352983678,31.905115289156996,,,0.05546139420026788,-188758200.0,,0.022662738005820613,,0
2020-09-18,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900.0,30674286464.59045,-0.03172013880879665,-0.04607146126883366,-0.11614825640749538,0.4780023059352665,28.41422274170374,,,0.05638935005278731,-295002800.0,,0.025582930283416707,,1
2020-09-21,104.54000091552734,110.19000244140624,103.0999984741211,110.08000183105467,195713800.0,21544175462.36267,0.030325773158183633,-0.045769753392521206,-0.08994706792135398,-0.3831942645669315,35.45471566985955,,,0.05542092500087502,-239439100.0,,0.025707601418931282,,1
2020-09-22,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859376,183055400.0,20467423827.0874,0.015715803949514884,-0.032283220766638476,-0.008952332378678318,-0.06686454839092804,38.90959808972689,,,0.05302973193891276,-241025700.0,,0.0278592910255842,,0
