timestamps,open,high,low,close,volume,amount
2020-08-26,126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,163022400.0,20626001454.74853
2020-08-27,127.14250183105467,127.48500061035156,123.8324966430664,125.01000213623048,155552400.0,19445605856.295776
2020-08-28,126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,187630000.0,23417631740.341187
2020-08-31,127.58000183105467,131.0,126.0,129.0399932861328,225702700.0,29124674892.66205
2020-09-01,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,151948100.0,20388394945.09888
2020-09-02,137.58999633789062,137.97999572753906,127.0,131.39999389648438,200119000.0,26295635378.57056
2020-09-03,126.91000366210938,128.83999633789062,120.5,120.87999725341795,257599600.0,31138638940.481567
2020-09-04,120.06999969482422,123.6999969482422,110.88999938964844,120.95999908447266,332607200.0,40232166607.48901
2020-09-08,113.9499969482422,118.98999786376952,112.68000030517578,112.81999969482422,231366600.0,26102779741.39252
2020-09-09,117.26000213623048,119.13999938964844,115.26000213623048,117.31999969482422,176940500.0,20758659406.002045
2020-09-10,120.36000061035156,120.5,112.5,113.48999786376952,182274400.0,20686321266.619877
2020-09-11,114.56999969482422,115.2300033569336,110.0,112.0,180860300.0,20256353600.0
2020-09-14,114.72000122070312,115.93000030517578,112.8000030517578,115.36000061035156,140150100.0,16167715621.540833
2020-09-15,118.33000183105467,118.83000183105467,113.61000061035156,115.54000091552734,184642000.0,21333536849.0448
2020-09-16,115.2300033569336,116.0,112.04000091552734,112.12999725341795,154679000.0,17344155845.161438
2020-09-17,109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,178011000.0,19641733088.104248
2020-09-18,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900.0,30674286464.59045
2020-09-21,104.54000091552734,110.19000244140624,103.0999984741211,110.08000183105467,195713800.0,21544175462.36267
2020-09-22,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859376,183055400.0,20467423827.0874
2020-09-23,111.62000274658205,112.11000061035156,106.7699966430664,107.12000274658205,150718700.0,16144987557.961271
2020-09-24,105.16999816894533,110.25,105.0,108.22000122070312,167743300.0,18153180130.76477
2020-09-25,108.43000030517578,112.44000244140624,107.66999816894533,112.27999877929688,149981400.0,16839911408.917236
2020-09-28,115.01000213623048,115.31999969482422,112.77999877929688,114.95999908447266,137672400.0,15826818977.957151
2020-09-29,114.5500030517578,115.30999755859376,113.56999969482422,114.08999633789062,99382200.0,11338514834.051514
2020-09-30,113.79000091552734,117.26000213623048,113.62000274658205,115.80999755859376,142675200.0,16523214563.671877
2020-10-01,117.63999938964844,117.72000122070312,115.83000183105467,116.79000091552734,116120400.0,13561701622.3114
2020-10-02,112.88999938964844,115.37000274658205,112.22000122070312,113.0199966430664,144712000.0,16355349754.211426
2020-10-05,113.91000366210938,116.6500015258789,113.5500030517578,116.5,106243800.0,12377402700.0
2020-10-06,115.6999969482422,116.12000274658205,112.25,113.16000366210938,161498200.0,18275136903.424072
2020-10-07,114.62000274658205,115.5500030517578,114.12999725341795,115.08000183105467,96849000.0,11145383097.335815
2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,83477200.0,9597373785.90088
2020-10-09,115.27999877929688,117.0,114.91999816894533,116.97000122070312,100506900.0,11756292215.689089
2020-10-12,120.05999755859376,125.18000030517578,119.27999877929688,124.4000015258789,240226800.0,29884214286.557007
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,262330500.0,31768223149.715424
2020-10-14,121.0,123.02999877929688,119.62000274658205,121.19000244140624,150712000.0,18264787647.94922
2020-10-15,118.72000122070312,121.1999969482422,118.1500015258789,120.70999908447266,112559200.0,13587020928.948977
2020-10-16,121.27999877929688,121.5500030517578,118.80999755859376,119.0199966430664,115393800.0,13734169688.630676
2020-10-19,119.95999908447266,120.41999816894533,115.66000366210938,115.9800033569336,120639300.0,13991746418.97812
2020-10-20,116.1999969482422,118.9800033569336,115.62999725341795,117.51000213623048,124423700.0,14621029252.7977
2020-10-21,116.66999816894533,118.70999908447266,116.4499969482422,116.87000274658205,89946000.0,10511989267.044067
2020-10-22,117.4499969482422,118.04000091552734,114.58999633789062,115.75,101988000.0,11805111000.0
2020-10-23,116.38999938964844,116.5500030517578,114.27999877929688,115.04000091552734,82572600.0,9499151979.597471
2020-10-26,114.01000213623048,116.5500030517578,112.87999725341795,115.0500030517578,111850700.0,12868423376.341248
2020-10-27,115.48999786376952,117.27999877929688,114.54000091552734,116.5999984741211,92276800.0,10759474739.196775
2020-10-28,115.0500030517578,115.43000030517578,111.0999984741211,111.1999969482422,143937800.0,16005882920.736694
2020-10-29,112.37000274658205,116.93000030517578,112.1999969482422,115.31999969482422,146129200.0,16851619299.404907
2020-10-30,111.05999755859376,111.98999786376952,107.72000122070312,108.86000061035156,190272600.0,20713075352.13318
2020-11-02,109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,122866900.0,13364232300.543976
2020-11-03,109.66000366210938,111.48999786376952,108.7300033569336,110.44000244140624,107624400.0,11886038998.754885
2020-11-04,114.13999938964844,115.58999633789062,112.3499984741211,114.9499969482422,138235500.0,15890170303.138733
2020-11-05,117.9499969482422,119.62000274658205,116.87000274658205,119.02999877929688,126387100.0,15043856358.718872
2020-11-06,118.31999969482422,119.1999969482422,116.12999725341795,118.69000244140624,114457900.0,13585008430.438232
2020-11-09,120.5,121.98999786376952,116.0500030517578,116.31999969482422,154515300.0,17973219648.845673
2020-11-10,115.5500030517578,117.58999633789062,114.12999725341795,115.97000122070312,138023400.0,16006573866.485596
2020-11-11,117.19000244140624,119.62999725341795,116.44000244140624,119.48999786376952,112295000.0,13418129310.112
2020-11-12,119.62000274658205,120.52999877929688,118.56999969482422,119.20999908447266,103162300.0,12297977688.552094
2020-11-13,119.44000244140624,119.66999816894533,117.87000274658205,119.26000213623048,81581900.0,9729457568.27774
2020-11-16,118.91999816894533,120.98999786376952,118.1500015258789,120.3000030517578,91183000.0,10969315178.268433
2020-11-17,119.5500030517578,120.66999816894533,118.95999908447266,119.38999938964844,74271000.0,8867214644.66858
2020-11-18,118.61000061035156,119.81999969482422,118.0,118.02999877929688,76322100.0,9008297369.833374
2020-11-19,117.58999633789062,119.05999755859376,116.80999755859376,118.63999938964844,74113000.0,8792766274.765015
2020-11-20,118.63999938964844,118.7699966430664,117.29000091552734,117.33999633789062,73604300.0,8636728292.453003
2020-11-23,117.18000030517578,117.62000274658205,113.75,113.8499984741211,127959300.0,14568166109.749603
2020-11-24,113.91000366210938,115.8499984741211,112.58999633789062,115.16999816894533,113874200.0,13114891405.490112
2020-11-25,115.5500030517578,116.75,115.16999816894533,116.02999877929688,76499200.0,8876202082.617188
2020-11-27,116.56999969482422,117.48999786376952,116.22000122070312,116.58999633789062,46691300.0,5443738496.011353
2020-11-30,116.97000122070312,120.97000122070312,116.80999755859376,119.0500030517578,169410200.0,20168284826.9989
2020-12-01,121.01000213623048,123.47000122070312,120.01000213623048,122.72000122070312,127728200.0,15674804859.918213
2020-12-02,122.0199966430664,123.37000274658205,120.88999938964844,123.08000183105467,89004200.0,10954637098.971558
2020-12-03,123.5199966430664,123.77999877929688,122.20999908447266,122.94000244140624,78967600.0,9708276936.791992
2020-12-04,122.5999984741211,122.86000061035156,121.5199966430664,122.25,78260400.0,9567333900.0
2020-12-07,122.30999755859376,124.56999969482422,122.25,123.75,86712000.0,10730610000.0
2020-12-08,124.37000274658205,124.9800033569336,123.08999633789062,124.37999725341795,82225500.0,10227207464.16092
2020-12-09,124.52999877929688,125.9499969482422,121.0,121.77999877929688,115089200.0,14015562635.510254
2020-12-10,120.5,123.87000274658205,120.1500015258789,123.23999786376952,81312200.0,10020915354.2984
2020-12-11,122.43000030517578,122.76000213623048,120.5500030517578,122.41000366210938,86939800.0,10642301236.383057
2020-12-14,122.5999984741211,123.3499984741211,121.54000091552734,121.77999877929688,79184500.0,9643088313.339231
