timestamps,open,high,low,close,volume,amount,ret_1,ret_5,ret_10,log_vol_chg,rsi_14,macd,bb_pos,atr_14,obv_slope,sma_ratio,rvol_5,rvol_20,target_up,next_ret,split
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,262330500.0,31768223149.715424,-0.026527355396143704,0.07016608832675697,0.06144274135542571,0.08802168172136504,56.12228338351368,1.2933618703334022,0.4902209826227827,0.03812148215048954,91775000.0,0.06430193285985952,0.03293453323957817,0.028551919872206098,1,0.000743220218160312,train
2020-10-14,121.0,123.02999877929688,119.62000274658205,121.19000244140624,150712000.0,18264787647.94922,0.000743220218160312,0.053093504632728994,0.04645544422959236,-0.5542344254964497,56.23501460610165,1.2939364042238846,0.4394040073487734,0.03738205848451045,145638000.0,0.06086936021352529,0.033375242409098727,0.027536633464232955,0,-0.003960750451883599,train
2020-10-15,118.72000122070312,121.1999969482422,118.1500015258789,120.70999908447266,112559200.0,13587020928.948977,-0.003960750451883599,0.04992604855896876,0.03356450156876534,-0.2918914231536931,55.4172793847446,1.2028864300951907,0.368509148744643,0.03665473848729249,116556000.0,0.05189315641780956,0.033666425587730565,0.027201640061919677,0,-0.014000517390639566,train
2020-10-16,121.27999877929688,121.5500030517578,118.80999755859376,119.0199966430664,115393800.0,13734169688.630676,-0.014000517390639566,0.017525822013930492,0.053087950612393575,0.02487132078227816,52.52146662491355,0.9792200432129219,0.2425479420578653,0.03616422331956885,-99344700.0,0.03169096690506423,0.03490202536524447,0.02621859662115169,0,-0.025541870037600223,train
2020-10-19,119.95999908447266,120.41999816894533,115.66000366210938,115.9800033569336,120639300.0,13991746418.97812,-0.025541870037600223,-0.06768487191050154,-0.004463490498424094,0.04445447501788635,47.693599056228955,0.5957721171751039,0.022229005617780986,0.03739280623796471,-460210800.0,0.002775428990674733,0.012330823932382032,0.026436217985587495,1,0.013191918736096708,train
2020-10-20,116.1999969482422,118.9800033569336,115.62999725341795,117.51000213623048,124423700.0,14621029252.7977,0.013191918736096708,-0.02964489168559148,0.03844113055271725,0.030887574521294425,50.17593635315575,0.4225655238915823,0.11079763121914307,0.03630611153260915,-73456600.0,0.01350653667971069,0.014695364409413346,0.02637800121654119,0,-0.005446339698866431,train
2020-10-21,116.66999816894533,118.70999908447266,116.4499969482422,116.87000274658205,89946000.0,10511989267.044067,-0.005446339698866431,-0.03564650225098276,0.015554404649343212,-0.3244831832899955,49.125698063922805,0.250766574821379,0.035821583796196085,0.03527870218955443,-314114600.0,0.0037661844219301077,0.014248314720871291,0.024298660006299898,0,-0.009583320957137542,train
2020-10-22,117.4499969482422,118.04000091552734,114.58999633789062,115.75,101988000.0,11805111000.0,-0.009583320957137542,-0.041090208947824225,0.006784367843917227,0.12564566773355068,47.26136775885983,0.05765165405501485,-0.10182538668029162,0.03520474598018803,-303543400.0,-0.009057600347980976,0.01415510480243896,0.024461665099709547,0,-0.006133901377733508,train
2020-10-23,116.38999938964844,116.5500030517578,114.27999877929688,115.04000091552734,82572600.0,9499151979.597471,-0.006133901377733508,-0.03343972307002174,-0.016499959690811528,-0.21117725063136916,46.067832406884236,-0.11266622546644925,-0.19320945139605378,0.0343013270828132,-270722200.0,-0.016298115110089717,0.013792299776849065,0.02319553820739446,1,8.694485527516171e-05,train
2020-10-26,114.01000213623048,116.5500030517578,112.87999725341795,115.0500030517578,111850700.0,12868423376.341248,8.694485527516171e-05,-0.008018626299860276,-0.07516075851635762,0.30348703676061106,46.08848764358504,-0.21356143153722745,-0.1928619980033491,0.03412697921861069,-38232200.0,-0.016250442953118283,0.008954440075137985,0.022588339766125606,1,0.013472363157313483,train
2020-10-27,115.48999786376952,117.27999877929688,114.54000091552734,116.5999984741211,92276800.0,10759474739.196775,0.013472363157313483,-0.007744052808835944,-0.03715937288770188,-0.19237218876734374,49.327250178070486,-0.16688923388875154,-0.04962423130492235,0.03294659176048414,-70379100.0,-0.004065753173598252,0.00907020665973885,0.022693394171726104,0,-0.04631219208015169,train
2020-10-28,115.0500030517578,115.43000030517578,111.0999984741211,111.1999969482422,143937800.0,16005882920.736694,-0.04631219208015169,-0.0485154929844106,-0.08243258760551697,0.4445885022926639,40.25413812378863,-0.47332347462206475,-0.5357457916346264,0.03561179641476061,-124370900.0,-0.04831596928469639,0.022281863743108855,0.02479098328135196,1,0.037050385428514465,train
2020-10-29,112.37000274658205,116.93000030517578,112.1999969482422,115.31999969482422,146129200.0,16851619299.404907,0.037050385428514465,-0.003714905444283212,-0.04465246815118051,0.015109899973275276,48.098185629796085,-0.376390968722002,-0.13690683576328783,0.0354358152424856,123746300.0,-0.01243449459163637,0.030561465104065978,0.026194569882443758,0,-0.05601802897648289,train
2020-10-30,111.05999755859376,111.98999786376952,107.72000122070312,108.86000061035156,190272600.0,20713075352.13318,-0.05601802897648289,-0.05372044728784109,-0.0853637734773598,0.2639666172693005,39.37010759206966,-0.7060504915679836,-0.648923031042267,0.03984406890370158,16046300.0,-0.06609244745515042,0.03969281830244932,0.028181824194642817,0,-0.0008267863933540953,train
2020-11-02,109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,122866900.0,13364232300.543976,-0.0008267863933540953,-0.054585017315177176,-0.06216594675961573,-0.4373561222244149,39.263204676349126,-0.8776808978484536,-0.5581787714163001,0.03923517001902808,-218671300.0,-0.06376022772860124,0.0396348485225669,0.027142961829777504,1,0.015353551989341518,train
2020-11-03,109.66000366210938,111.48999786376952,108.7300033569336,110.44000244140624,107624400.0,11886038998.754885,0.015353551989341518,-0.05283015534586,-0.06016508864179859,-0.13245426667125315,42.389060315254746,-0.8269444420541422,-0.4058881915712612,0.037666809557726146,-203323700.0,-0.04827150639023736,0.03992746572527723,0.026740380108816603,1,0.04083660274481371,train
2020-11-04,114.13999938964844,115.58999633789062,112.3499984741211,114.9499969482422,138235500.0,15890170303.138733,0.04083660274481371,0.0337230225082239,-0.01642855953809752,0.2503113625655793,49.88952665164717,-0.4563662156222451,-0.07858303726218976,0.03680419342734576,78849600.0,-0.009350655220402904,0.039210534720722064,0.028077898849942193,1,0.03549370978140831,train
2020-11-05,117.9499969482422,119.62000274658205,116.87000274658205,119.02999877929688,126387100.0,15043856358.718872,0.03549370978140831,0.03217134143505529,0.028336922499325068,-0.08960933222184764,55.53004510744619,0.06885533619119533,0.2003907735319699,0.03580631017288015,59107500.0,0.024019672309569806,0.03892015671072195,0.029153257070383524,0,-0.00285639201358856,train
2020-11-06,118.31999969482422,119.1999969482422,116.12999725341795,118.69000244140624,114457900.0,13585008430.438232,-0.00285639201358856,0.09029948351956874,0.03172810758719535,-0.0991423489260761,54.97471392261113,0.3812404543215766,0.16857686913455075,0.035191509828838084,134922200.0,0.020339760239895366,0.02014436345750283,0.028946446967167225,0,-0.019968006553475415,train
2020-11-09,120.5,121.98999786376952,116.0500030517578,116.31999969482422,154515300.0,17973219648.845673,-0.019968006553475415,0.06941255203430297,0.011038649364442765,0.300086048504113,51.135799920532115,0.4134288844120013,0.031863862280531834,0.03699120652852693,103273800.0,0.003450652331495885,0.025601358203161766,0.025260307622898718,0,-0.003008927742772949,train
2020-11-10,115.5500030517578,117.58999633789062,114.12999725341795,115.97000122070312,138023400.0,16006573866.485596,-0.003008927742772949,0.05007242536263812,-0.005403063993673962,-0.1128698837876172,50.5741368502164,0.39627775357121364,0.025770364666833245,0.03658373543446271,-142374000.0,0.00264993715834283,0.02661473436657393,0.024649772209593794,1,0.03035264815051142,train
