model,val_acc,test_acc,weight
xgb,0.5067873303167421,0.49321266968325794,0.4444444444444445
lstm,0.5610859728506787,0.5475113122171946,0.4444444444444445
arima,0.45701357466063347,0.47058823529411764,0.0
kronos,0.5248868778280543,0.4841628959276018,0.11111111111111112
majority_vote,,0.5158371040723982,
weighted_ensemble,0.583710407239819,0.5113122171945701,
