timestamps,open,high,low,close,volume,amount
2016-08-26,39.6245002746582,39.970001220703125,39.47050094604492,39.6609992980957,24978000.0,990652440.4678345
2016-08-29,39.65250015258789,39.92599868774414,39.51599884033203,39.79100036621094,15474000.0,615725939.666748
2016-08-30,39.64400100708008,39.900001525878906,39.4734992980957,39.59600067138672,23348000.0,924487423.6755371
2016-08-31,39.47999954223633,39.57849884033203,39.36000061035156,39.49250030517578,21428000.0,846245296.5393066
2016-09-01,39.5989990234375,39.644500732421875,39.31650161743164,39.56999969482422,26070000.0,1031589892.0440674
2016-09-02,39.76350021362305,39.85499954223633,39.66299819946289,39.84349822998047,26998000.0,1075694765.2130127
2016-09-06,39.919498443603516,40.544498443603516,39.77149963378906,40.4010009765625,39790000.0,1607555828.8574219
2016-09-07,40.39649963378906,40.529998779296875,40.18600082397461,40.39950180053711,22906000.0,925390988.243103
2016-09-08,40.26100158691406,40.42100143432617,40.050498962402344,40.141998291015625,23554000.0,945504627.746582
2016-09-09,39.938499450683594,40.087501525878906,39.40250015258789,39.42399978637695,37752000.0,1488334839.9353027
2016-09-12,39.22600173950195,40.00849914550781,39.17499923706055,39.941001892089844,37274000.0,1488760904.5257568
2016-09-13,39.70050048828125,39.78950119018555,39.21649932861328,39.43600082397461,36180000.0,1426794509.8114014
2016-09-14,39.37649917602539,39.81650161743164,39.37649917602539,39.52299880981445,25842000.0,1021353335.2432251
2016-09-15,39.5004997253418,40.182498931884766,39.43299865722656,40.061500549316406,31144000.0,1247675373.1079102
2016-09-16,39.95100021362305,39.95100021362305,39.680999755859375,39.89849853515625,42612000.0,1700154819.5800781
2016-09-19,40.05550003051758,40.199501037597656,39.678001403808594,39.769500732421875,22990000.0,914300821.8383789
2016-09-20,40.0,40.13750076293945,39.91299819946289,39.98899841308594,20984000.0,839129142.7001953
2016-09-21,40.0629997253418,40.295501708984375,39.80149841308594,40.25149917602539,26970000.0,1085582932.7774048
2016-09-22,40.5,40.952999114990234,40.385501861572266,40.79750061035156,35186000.0,1435500856.47583
2016-09-23,40.75699996948242,40.849998474121094,40.63650131225586,40.74800109863281,28234000.0,1150479063.0187988
2016-09-26,40.49100112915039,40.50400161743164,40.022499084472656,40.13249969482422,29454000.0,1182062646.0113525
2016-09-27,40.09149932861328,40.67449951171875,40.09149932861328,40.5364990234375,27346000.0,1108511102.2949219
2016-09-28,40.20399856567383,40.51250076293945,40.138999938964844,40.50299835205078,29406000.0,1191031169.5404053
2016-09-29,40.36149978637695,40.695499420166016,40.042999267578125,40.13199996948242,27000000.0,1083563999.1760254
2016-09-30,40.18000030517578,40.40449905395508,40.07500076293945,40.202999114990234,33204000.0,1334900382.6141357
2016-10-03,40.127498626708984,40.176998138427734,39.811500549316406,40.01900100708008,29784000.0,1191925925.994873
2016-10-04,40.25,40.32500076293945,39.98350143432617,40.13949966430664,25174000.0,1010471764.5492554
2016-10-05,40.29999923706055,40.42499923706055,40.035499572753906,40.061500549316406,24276000.0,972532987.3352051
2016-10-06,40.20399856567383,40.34749984741211,40.0255012512207,40.15399932861328,21998000.0,883307677.230835
2016-10-07,40.29650115966797,40.297000885009766,39.840999603271484,40.035499572753906,23262000.0,931305791.0614014
2016-10-10,40.19649887084961,40.86899948120117,40.11199951171875,40.708499908447266,29922000.0,1218079734.260559
2016-10-11,40.708499908447266,40.99300003051758,40.368499755859375,40.47850036621094,34432000.0,1393755724.609375
